163,Octavina,14 strings 6 courses,Philippines,B1:B1:E2:E2:A2:A2:A2:D3:D3:D3:G3:G3:G3
164,Octobass,3 strings 3 courses,France,C1:G1:C2
165,Oud,11 strings 6 courses,Middle East,C2:F2:A2:D3:G3:C4
166,Palida,4 strings 4 courses,Europe,D3:A3:E4:B4
167,Panduri,3 strings 3 courses,Georgia (Asia),G3:A3:C4
168,Pardessus de Viole,5 strings 5 courses,Europe,C4:E4:A4:D5
169,Phin,3 strings 3 courses,Thailand,A3:E4:A4
170,Pipa,4 strings 4 courses,China,A2:D3:E3:A3
171,Portuguese guitar,12 strings 6 courses,Portugal,D3:D2:A3:A2:B3:B2:E3:E3:A3:A3:B3:B3
172,Qinqin,3 strings 3 courses,China,G3:D4:A5
173,Ramkie,4 strings 4 courses,South Africa,C3:F3:A3:C4
174,Requinto,6 strings 6 courses,Mexico,A2:D3:G3:C4:E4:A4
175,Ronroco,10 strings 5 courses,Andean Region,D4:D4:G4:G4:B4:B3:E4:E4:B4:B4
176,Russian guitar,7 strings 7 courses,Russia,D2:G2:B2:D3:G3:B3:D4
177,Samica,4 strings 2 courses,Balkans,B3:E4
178,Sanshin,3 strings 3 courses,Ryukyu Islands - Japan,C3:F3:C4
179,Sanxian,3 strings 3 courses,China,A2:D3:A3
180,Sanxian - Large,3 strings 3 courses,China,G2:D3:G3
181,Sarangi - Nepalese,4 strings 4 courses,Nepal,G4:C5:C5:G5
182,Sargija,6 strings 3 courses,Albania,C3:C3:G3:G3:D3:D3
183,Seis Cinco,6 strings 5 courses,North-western Venezuela,E3:A4:A3:D3:B4
184,Setar,4 strings 3 courses,Iran,C3:C4:G3:C4
185,Sitar,7 strings (3 are drones) plus 13 sympathetic strings,North India,C5:C4
186,Socavon,4 strings 4 courses,Panama,G3:D4:A4:B2
187,Strumstick,3 strings 3 courses,US,G3:D4:G4
188,Swedish lute (modern),12 strings 12 courses,Sweden,F1:G1:A1:B1:C2:D2
189,Tambura,8 strings 4 courses,Bulgaria,D3:D3:G3:G3:B3:B3:E4:E4
190,Tarica,5 strings 3 courses,Europe,C2:G2:G2:C3:C3
191,Taropatch,6 strings 4 courses,Hawaii,G3:C3:C4:E4:A4:A4
192,Terzin Kitarra,6 strings 6 courses,Malta,B2:E3:A3:E4
193,Timple,5 strings 5 courses,Canary Islands - Spain,G4:C5:E4:A4:D5
194,Tiple de Menorca,5 strings 5 courses,Menorca - Spain,D4:G4:C5:E5:A5
195,Tiple Requinto,12 strings 4 courses,Colombia,C4:C4:C4:E4:E4:E4:A4:A4:A4:D4:D4:D4
196,Tiple - American,10 strings 4 courses,US,A4:A3:D4:D3:D4:B3:B3
197,Tiple - Columbian,12 strings 4 courses,Colombia,C4:C3:C4:E4:E3:E4:A4:A3:A4:D4:D4:D4
198,Tiple - Puerto Rican,5 strings 5 courses,Puerto Rico,E3:A3:D4:G4:C5
199,Tres - Cuban,6 strings 3 courses,Cuba,G4:G3:C4:C4:E3:E4
200,Tres - Puerto Rican,9 strings 3 courses,Puerto Rico,G4:G3:G4:C4:C4:C4:E4:E3:E4
201,Tricordia,12 strings 4 courses,Mexico,G2:G3:G3:D3:D4:D4:A3:A4:A4:E4:E5:E5
202,Tzouras,6 strings 3 courses,Tzouras,D3:D4:A3:A3:D4:D4
203,Ukulele - Baritone,4 strings 4 courses,Hawaii,D3:G3:B3:E4
204,Ukulele - Bass,4 strings 4 courses,US,E2:A2:D3:G3
205,Ukulele - Concert,4 strings 4 courses,Hawaii,G4:C4:E4:A4
206,Ukulele - Contrabass (UBass),4 strings 4 courses,US,E1:A1:D2:G2
207,Ukulele - Pocket,4 strings 4 courses,Hawaii,C5:F5:A5
208,Ukulele - Soprano,4 strings 4 courses,Hawaii,G4:C4:E4:A4
209,Ukulele - Tahitian,8 strings 4 courses,Tahiti,G4:G4:C5:C5:E5:E5:A4:A4
210,Ukulele - Tenor,4 strings 4 courses,Hawaii,G3:C4:E4:A4
211,Veena,7 strings 7 courses,South India,C3:D3:E3:F3:G3:A3:B3
212,Vihuela,5 strings 5 courses,Mexico,A3:D4:G4:B3:E4
213,Viol - alto,6 strings 6 courses,Europe,A2:D3:G3:B3:E4:A4
214,Viol - bass,7 strings 7 courses,Europe,A1:D2:G2:C3:E3:A3:D4
215,Viol - bass,6 strings 6 courses,Europe,D2:G2:C3:E3:A3:D4
216,Viol - contrabass,6 strings 6 courses,Europe,D1:G1:C2:E2:A2:D3
